unit_id,name,faction,points,quality,defense,models,matches,wins,losses,draws,win_rate,game_win_rate
18213,"Veterans","MERGED ALL TXT",105,4,5,5,36502,9467,26946,89,25.9356,23.8724
18212,"Veterans","MERGED ALL TXT",145,4,5,5,36502,10306,26110,86,28.2341,25.7587
18211,"Veterans","MERGED ALL TXT",130,4,5,5,36502,11175,25230,97,30.6148,29.2301
18210,"Veterans","MERGED ALL TXT",135,4,5,5,36502,14273,22200,29,39.102,46.4398
18209,"Veterans","MERGED ALL TXT",110,4,5,5,36502,12283,24202,17,33.6502,31.9549
18208,"Veterans","MERGED ALL TXT",115,4,5,5,36502,10800,25601,101,29.5874,27.9156
18207,"Veterans","MERGED ALL TXT",110,4,5,5,36502,12410,24016,76,33.9981,30.5565
18206,"Veterans","MERGED ALL TXT",130,4,5,5,36502,10796,25620,86,29.5765,27.0475
18205,"Veterans","MERGED ALL TXT",130,4,5,5,36502,10525,25892,85,28.834,27.6578
18204,"Veterans","MERGED ALL TXT",95,4,5,5,36502,9204,27200,98,25.2151,25.7655
18203,"Veterans","MERGED ALL TXT",110,4,5,5,36502,7971,28427,104,21.8372,22.6025
18202,"Veterans","MERGED ALL TXT",110,4,5,5,36502,7104,29274,124,19.4619,21.1466
18201,"Veterans","MERGED ALL TXT",150,4,5,5,36502,16191,20257,54,44.3565,49.0547
18200,"Veterans","MERGED ALL TXT",150,4,5,5,36502,9583,26809,110,26.2534,22.1705
18199,"Veterans","MERGED ALL TXT",145,4,5,5,36502,7216,29181,105,19.7688,21.5904
18198,"Veterans","MERGED ALL TXT",105,4,5,5,36502,9819,26602,81,26.8999,25.6821
18197,"Veterans","MERGED ALL TXT",135,4,5,5,36502,16064,20406,32,44.0085,49.5747
18196,"Veterans","MERGED ALL TXT",95,4,5,5,36502,10665,25739,98,29.2176,27.5122
18195,"Veterans","MERGED ALL TXT",95,4,5,5,36502,9763,26654,85,26.7465,24.8966
18194,"Veterans","MERGED ALL TXT",110,4,5,5,36502,13694,22782,26,37.5158,43.8455
18193,"Veterans","MERGED ALL TXT",125,4,5,5,36502,12628,23812,62,34.5954,30.0469
18192,"Veterans","MERGED ALL TXT",125,4,5,5,36502,14641,21823,38,40.1101,46.6557
18191,"Veterans","MERGED ALL TXT",95,4,5,5,36502,9096,27297,109,24.9192,25.5338
18190,"Veterans","MERGED ALL TXT",155,4,5,5,36502,10861,25570,71,29.7545,25.9611
18189,"Veterans","MERGED ALL TXT",135,4,5,5,36502,12942,23491,69,35.4556,31.8183
18188,"Veterans","MERGED ALL TXT",115,4,5,5,36502,11444,24969,89,31.3517,29.217
18187,"Veterans","MERGED ALL TXT",110,4,5,5,36502,6619,29774,109,18.1333,20.7577
18186,"Veterans","MERGED ALL TXT",115,4,5,5,36502,14421,22053,28,39.5074,45.5737
18185,"Veterans","MERGED ALL TXT",135,4,5,5,36502,10248,26167,87,28.0752,25.6526
18184,"Veterans","MERGED ALL TXT",130,4,5,5,36502,13038,23403,61,35.7186,31.406
18183,"Veterans","MERGED ALL TXT",145,4,5,5,36502,12410,24010,82,33.9981,29.7185
18182,"Veterans","MERGED ALL TXT",160,4,5,5,36502,12100,24320,82,33.1489,28.3257
18181,"Veterans","MERGED ALL TXT",105,4,5,5,36502,13843,22611,48,37.9239,43.7252
18180,"Veterans","MERGED ALL TXT",115,4,5,5,36502,7783,28598,121,21.3221,20.2403
18179,"Veterans","MERGED ALL TXT",135,4,5,5,36502,10874,25547,81,29.7901,28.9825
18178,"Veterans","MERGED ALL TXT",130,4,5,5,36502,7961,28427,114,21.8098,23.5764
18177,"Veterans","MERGED ALL TXT",160,4,5,5,36502,14359,22108,35,39.3376,45.2239
18176,"Veterans","MERGED ALL TXT",125,4,5,5,36502,12722,23714,66,34.8529,30.2853
18175,"Veterans","MERGED ALL TXT",140,4,5,5,36502,12147,24276,79,33.2776,29.7743
18174,"Veterans","MERGED ALL TXT",130,4,5,5,36502,11031,25369,102,30.2203,27.1968
18173,"Veterans","MERGED ALL TXT",135,4,5,5,36502,11610,24812,80,31.8065,28.2659
18172,"Veterans","MERGED ALL TXT",100,4,5,5,36502,7520,28876,106,20.6016,19.782
18171,"Veterans","MERGED ALL TXT",130,4,5,5,36502,11769,24659,74,32.2421,30.1258
18170,"Veterans","MERGED ALL TXT",130,4,5,5,36502,12584,23843,75,34.4748,30.2408
18169,"Veterans","MERGED ALL TXT",140,4,5,5,36502,11383,25047,72,31.1846,29.7812
18168,"Veterans","MERGED ALL TXT",135,4,5,5,36502,11932,24480,90,32.6886,28.1896
18167,"Veterans","MERGED ALL TXT",115,4,5,5,36502,8801,27603,98,24.111,22.0036
18166,"Veterans","MERGED ALL TXT",120,4,5,5,36502,9613,26789,100,26.3355,25.2154
18165,"Veterans","MERGED ALL TXT",145,4,5,5,36502,11314,25126,62,30.9956,28.8295
18164,"Veterans","MERGED ALL TXT",135,4,5,5,36502,15281,21194,27,41.8635,47.4108
18163,"Veterans","MERGED ALL TXT",115,4,5,5,36502,14391,22076,35,39.4252,44.9371
18162,"Veterans","MERGED ALL TXT",100,4,5,5,36502,11987,24480,35,32.8393,39.2206
18161,"Veterans","MERGED ALL TXT",140,4,5,5,36502,11080,25336,86,30.3545,25.9697
18160,"Veterans","MERGED ALL TXT",125,4,5,5,36502,9628,26755,119,26.3766,24.2868
18159,"Veterans","MERGED ALL TXT",115,4,5,5,36502,8431,27974,97,23.0974,22.9813
18158,"Veterans","MERGED ALL TXT",135,4,5,5,36502,9475,26939,88,25.9575,23.7556
18157,"Veterans","MERGED ALL TXT",130,4,5,5,36502,11319,25099,84,31.0093,28.8216
18156,"Veterans","MERGED ALL TXT",155,4,5,5,36502,10483,25918,101,28.719,28.2415
18155,"Veterans","MERGED ALL TXT",160,4,5,5,36502,11200,25218,84,30.6833,27.5764
18154,"Veterans","MERGED ALL TXT",140,4,5,5,36502,9967,26419,116,27.3054,24.5831
18153,"Veterans","MERGED ALL TXT",140,4,5,5,36502,15930,20545,27,43.6414,49.8413
18152,"Veterans","MERGED ALL TXT",175,4,5,5,36502,15912,20563,27,43.5921,48.8285
18151,"Veterans","MERGED ALL TXT",150,4,5,5,36502,11351,25078,73,31.0969,27.4672
18150,"Veterans","MERGED ALL TXT",90,4,5,5,36502,8842,27546,114,24.2233,24.9827
18149,"Veterans","MERGED ALL TXT",130,4,5,5,36502,9932,26480,90,27.2095,27.348
18148,"Veterans","MERGED ALL TXT",125,4,5,5,36502,12320,24145,37,33.7516,40.9094
18147,"Veterans","MERGED ALL TXT",140,4,5,5,36502,14977,21485,40,41.0306,47.3108
18146,"Veterans","MERGED ALL TXT",145,4,5,5,36502,11313,25105,84,30.9928,25.752
18145,"Veterans","MERGED ALL TXT",135,4,5,5,36502,10833,25589,80,29.6778,25.1124
18144,"Veterans","MERGED ALL TXT",135,4,5,5,36502,16736,19726,40,45.8495,50.1137
18143,"Veterans","MERGED ALL TXT",105,4,5,5,36502,11286,25140,76,30.9189,28.256
18142,"Veterans","MERGED ALL TXT",105,4,5,5,36502,13862,22603,37,37.976,43.404
18141,"Veterans","MERGED ALL TXT",130,4,5,5,36502,16703,19759,40,45.7591,50.1108
18140,"Veterans","MERGED ALL TXT",135,4,5,5,36502,14011,22413,78,38.3842,32.7812
18139,"Veterans","MERGED ALL TXT",125,4,5,5,36502,11629,24776,97,31.8585,28.3289
18138,"Veterans","MERGED ALL TXT",160,4,5,5,36502,12118,24315,69,33.1982,28.157
18137,"Veterans","MERGED ALL TXT",160,4,5,5,36502,10821,25594,87,29.645,26.6568
18136,"Veterans","MERGED ALL TXT",135,4,5,5,36502,13681,22767,54,37.4801,32.4142
18135,"Veterans","MERGED ALL TXT",125,4,5,5,36502,9489,26918,95,25.9958,24.7465
18134,"Veterans","MERGED ALL TXT",125,4,5,5,36502,10536,25864,102,28.8642,25.7088
18133,"Veterans","MERGED ALL TXT",145,4,5,5,36502,9765,26620,117,26.752,23.7311
18132,"Veterans","MERGED ALL TXT",150,4,5,5,36502,10438,25971,93,28.5957,26.2755
18131,"Veterans","MERGED ALL TXT",135,4,5,5,36502,9062,27316,124,24.826,23.6976
18130,"Veterans","MERGED ALL TXT",130,4,5,5,36502,12983,23478,41,35.5679,42.2493
18129,"Veterans","MERGED ALL TXT",100,4,5,5,36502,9354,27054,94,25.626,25.6439
18128,"Veterans","MERGED ALL TXT",120,4,5,5,36502,9135,27264,103,25.026,24.1369
18127,"Veterans","MERGED ALL TXT",145,4,5,5,36502,15538,20926,38,42.5675,50.0724
18126,"Veterans","MERGED ALL TXT",145,4,5,5,36502,9860,26550,92,27.0122,25.444
18125,"Veterans","MERGED ALL TXT",145,4,5,5,36502,13158,23283,61,36.0473,29.7393
18124,"Veterans","MERGED ALL TXT",150,4,5,5,36502,17053,19411,38,46.718,52.0064
18123,"Veterans","MERGED ALL TXT",120,4,5,5,36502,10334,26068,100,28.3108,25.6543
18122,"Veterans","MERGED ALL TXT",135,4,5,5,36502,15674,20786,42,42.9401,46.8813
18121,"Veterans","MERGED ALL TXT",95,4,5,5,36502,10326,26088,88,28.2889,28.209
18120,"Veterans","MERGED ALL TXT",135,4,5,5,36502,10677,25741,84,29.2505,26.0663
18119,"Veterans","MERGED ALL TXT",110,4,5,5,36502,8263,28137,102,22.6371,24.1292
18118,"Veterans","MERGED ALL TXT",125,4,5,5,36502,10329,26076,97,28.2971,27.0166
18117,"Veterans","MERGED ALL TXT",120,4,5,5,36502,7350,29066,86,20.1359,21.9777
18116,"Veterans","MERGED ALL TXT",110,4,5,5,36502,7095,29313,94,19.4373,21.4679
18115,"Veterans","MERGED ALL TXT",150,4,5,5,36502,11636,24782,84,31.8777,26.8687
18114,"Veterans","MERGED ALL TXT",150,4,5,5,36502,13814,22615,73,37.8445,32.1866
18113,"Veterans","MERGED ALL TXT",120,4,5,5,36502,12422,24066,14,34.031,31.3608
18112,"Veterans","MERGED ALL TXT",145,4,5,5,36502,7703,28675,124,21.103,21.2671
18111,"Veterans","MERGED ALL TXT",125,4,5,5,36502,13532,22936,34,37.0719,43.8117
18110,"Veterans","MERGED ALL TXT",145,4,5,5,36502,15261,21201,40,41.8087,48.1947
18109,"Veterans","MERGED ALL TXT",120,4,5,5,36502,10952,25463,87,30.0038,29.024
18108,"Veterans","MERGED ALL TXT",165,4,5,5,36502,16133,20327,42,44.1976,50.3658
18107,"Veterans","MERGED ALL TXT",145,4,5,5,36502,13268,23166,68,36.3487,29.6141
18106,"Veterans","MERGED ALL TXT",135,4,5,5,36502,17003,19472,27,46.581,52.4063
18105,"Veterans","MERGED ALL TXT",130,4,5,5,36502,10939,25477,86,29.9682,26.0048
18104,"Veterans","MERGED ALL TXT",125,4,5,5,36502,15960,20511,31,43.7236,47.9029
18103,"Veterans","MERGED ALL TXT",165,4,5,5,36502,13355,23067,80,36.587,31.8172
18102,"Veterans","MERGED ALL TXT",145,4,5,5,36502,15802,20659,41,43.2908,50.3803
18101,"Veterans","MERGED ALL TXT",140,4,5,5,36502,15102,21369,31,41.3731,48.5741
18100,"Veterans","MERGED ALL TXT",145,4,5,5,36502,15144,21321,37,41.4881,49.0986
18099,"Veterans","MERGED ALL TXT",135,4,5,5,36502,15396,21065,41,42.1785,47.4553
18098,"Veterans","MERGED ALL TXT",115,4,5,5,36502,11863,24550,89,32.4996,29.7507
18097,"Veterans","MERGED ALL TXT",125,4,5,5,36502,12240,24231,31,33.5324,40.1142
18096,"Veterans","MERGED ALL TXT",135,4,5,5,36502,16170,20311,21,44.2989,48.5438
18095,"Veterans","MERGED ALL TXT",145,4,5,5,36502,11880,24549,73,32.5462,28.0996
18094,"Veterans","MERGED ALL TXT",125,4,5,5,36502,12395,24027,80,33.957,30.1816
18093,"Veterans","MERGED ALL TXT",130,4,5,5,36502,12871,23554,77,35.2611,31.842
18092,"Veterans","MERGED ALL TXT",160,4,5,5,36502,12415,23999,88,34.0118,28.7218
18091,"Veterans","MERGED ALL TXT",120,4,5,5,36502,9087,27321,94,24.8945,24.4142
18090,"Veterans","MERGED ALL TXT",105,4,5,5,36502,11457,25024,21,31.3873,38.1056
18089,"Veterans","MERGED ALL TXT",135,4,5,5,36502,10784,25633,85,29.5436,27.6264
18088,"Veterans","MERGED ALL TXT",155,4,5,5,36502,14955,21519,28,40.9704,47.6033
18087,"Veterans","MERGED ALL TXT",115,4,5,5,36502,10152,26254,96,27.8122,26.6795
18086,"Veterans","MERGED ALL TXT",140,4,5,5,36502,11266,25160,76,30.8641,27.9454
18085,"Veterans","MERGED ALL TXT",145,4,5,5,36502,7232,29155,115,19.8126,22.5846
18084,"Veterans","MERGED ALL TXT",125,4,5,5,36502,10486,25938,78,28.7272,27.6853
18083,"Veterans","MERGED ALL TXT",135,4,5,5,36502,13689,22759,54,37.5021,43.8326
18082,"Veterans","MERGED ALL TXT",160,4,5,5,36502,12272,24146,84,33.6201,30.0825
18081,"Veterans","MERGED ALL TXT",145,4,5,5,36502,12435,23962,105,34.0666,29.1309
18080,"Veterans","MERGED ALL TXT",130,4,5,5,36502,10569,25836,97,28.9546,24.8919
18079,"Veterans","MERGED ALL TXT",155,4,5,5,36502,10065,26340,97,27.5738,23.4816
18078,"Veterans","MERGED ALL TXT",125,4,5,5,36502,10079,26292,131,27.6122,25.9564
18077,"Veterans","MERGED ALL TXT",145,4,5,5,36502,14704,21761,37,40.2827,47.2441
18076,"Veterans","MERGED ALL TXT",110,4,5,5,36502,10786,25594,122,29.5491,27.0906
18075,"Veterans","MERGED ALL TXT",125,4,5,5,36502,13293,23167,42,36.4172,41.8872
18074,"Veterans","MERGED ALL TXT",150,4,5,5,36502,9596,26817,89,26.289,23.4914
18073,"Veterans","MERGED ALL TXT",100,4,5,5,36502,7328,29084,90,20.0756,21.167
18072,"Veterans","MERGED ALL TXT",120,4,5,5,36502,11396,25081,25,31.2202,29.4562
18071,"Veterans","MERGED ALL TXT",140,4,5,5,36502,14211,22258,33,38.9321,43.6505
18070,"Veterans","MERGED ALL TXT",130,4,5,5,36502,14733,21746,23,40.3622,47.2549
18069,"Veterans","MERGED ALL TXT",155,4,5,5,36502,10995,25415,92,30.1216,26.5844
18068,"Veterans","MERGED ALL TXT",130,4,5,5,36502,11234,25248,20,30.7764,25.9763
18067,"Veterans","MERGED ALL TXT",165,4,5,5,36502,16039,20432,31,43.9401,49.5107
18066,"Veterans","MERGED ALL TXT",125,4,5,5,36502,10911,25496,95,29.8915,28.8876
18065,"Veterans","MERGED ALL TXT",145,4,5,5,36502,7901,28471,130,21.6454,22.6127
18064,"Veterans","MERGED ALL TXT",115,4,5,5,36502,10070,26325,107,27.5875,26.001
18063,"Veterans","MERGED ALL TXT",120,4,5,5,36502,14570,21901,31,39.9156,46.2375
18062,"Veterans","MERGED ALL TXT",140,4,5,5,36502,10783,25633,86,29.5408,26.9389
18061,"Veterans","MERGED ALL TXT",135,4,5,5,36502,9770,26638,94,26.7657,24.9325
18060,"Veterans","MERGED ALL TXT",105,4,5,5,36502,6015,30380,107,16.4785,18.5396
18059,"Veterans","MERGED ALL TXT",145,4,5,5,36502,10005,26407,90,27.4095,27.2573
18058,"Veterans","MERGED ALL TXT",115,4,5,5,36502,10001,26405,96,27.3985,24.5461
18057,"Veterans","MERGED ALL TXT",150,4,5,5,36502,12835,23570,97,35.1625,29.4373
18056,"Veterans","MERGED ALL TXT",125,4,5,5,36502,7892,28502,108,21.6207,19.8203
18055,"Veterans","MERGED ALL TXT",125,4,5,5,36502,11382,25019,101,31.1819,27.8507
18054,"Veterans","MERGED ALL TXT",145,4,5,5,36502,12344,24094,64,33.8173,30.7019
18053,"Veterans","MERGED ALL TXT",150,4,5,5,36502,16382,20088,32,44.8797,50.0631
18052,"Veterans","MERGED ALL TXT",125,4,5,5,36502,9452,26934,116,25.8945,25.1201
18051,"Veterans","MERGED ALL TXT",150,4,5,5,36502,15573,20888,41,42.6634,47.7196
18050,"Veterans","MERGED ALL TXT",125,4,5,5,36502,14552,21923,27,39.8663,45.949
18049,"Veterans","MERGED ALL TXT",155,4,5,5,36502,13442,22979,81,36.8254,30.8565
18048,"Veterans","MERGED ALL TXT",140,4,5,5,36502,13554,22873,75,37.1322,31.2958
18047,"Veterans","MERGED ALL TXT",130,4,5,5,36502,13009,23464,29,35.6391,42.6222
18046,"Veterans","MERGED ALL TXT",120,4,5,5,36502,11457,24969,76,31.3873,28.2119
18045,"Veterans","MERGED ALL TXT",95,4,5,5,36502,6517,29876,109,17.8538,20.7261
18044,"Veterans","MERGED ALL TXT",145,4,5,5,36502,12798,23621,83,35.0611,30.5046
18043,"Veterans","MERGED ALL TXT",125,4,5,5,36502,10084,26393,25,27.6259,23.0791
18042,"Veterans","MERGED ALL TXT",105,4,5,5,36502,7961,28439,102,21.8098,23.5706
18041,"Veterans","MERGED ALL TXT",135,4,5,5,36502,11945,24483,74,32.7242,29.2931
18040,"Veterans","MERGED ALL TXT",145,4,5,5,36502,10802,25627,73,29.5929,25.7366
18039,"Veterans","MERGED ALL TXT",130,4,5,5,36502,10643,25761,98,29.1573,27.9651
18038,"Veterans","MERGED ALL TXT",135,4,5,5,36502,9461,26964,77,25.9191,26.7827
18037,"Veterans","MERGED ALL TXT",135,4,5,5,36502,13244,23186,72,36.2829,32.2578
18036,"Veterans","MERGED ALL TXT",150,4,5,5,36502,11864,24566,72,32.5023,26.7771
18035,"Veterans","MERGED ALL TXT",125,4,5,5,36502,11148,25268,86,30.5408,28.5026
18034,"Veterans","MERGED ALL TXT",130,4,5,5,36502,11170,25248,84,30.6011,28.9764
18033,"Veterans","MERGED ALL TXT",115,4,5,5,36502,10009,26404,89,27.4204,25.4844
18032,"Veterans","MERGED ALL TXT",140,4,5,5,36502,14987,21478,37,41.058,47.6447
18031,"Veterans","MERGED ALL TXT",130,4,5,5,36502,13998,22479,25,38.3486,46.0785
18030,"Veterans","MERGED ALL TXT",145,4,5,5,36502,15509,20949,44,42.4881,47.7901
18029,"Veterans","MERGED ALL TXT",165,4,5,5,36502,9258,27162,82,25.363,22.801
18028,"Veterans","MERGED ALL TXT",160,4,5,5,36502,12760,23679,63,34.957,29.3179
18027,"Veterans","MERGED ALL TXT",140,4,5,5,36502,13614,22854,34,37.2966,44.6729
18026,"Veterans","MERGED ALL TXT",155,4,5,5,36502,12320,24111,71,33.7516,27.807
18025,"Veterans","MERGED ALL TXT",130,4,5,5,36502,13078,23347,77,35.8282,31.6728
18024,"Veterans","MERGED ALL TXT",105,4,5,5,36502,12642,23826,34,34.6337,41.2391
18023,"Veterans","MERGED ALL TXT",100,4,5,5,36502,10472,25928,102,28.6888,28.1406
18022,"Veterans","MERGED ALL TXT",100,4,5,5,36502,10908,25494,100,29.8833,29.2127
18021,"Veterans","MERGED ALL TXT",125,4,5,5,36502,15341,21124,37,42.0278,46.0506
18020,"Veterans","MERGED ALL TXT",145,4,5,5,36502,9863,26559,80,27.0204,26.3005
18019,"Veterans","MERGED ALL TXT",100,4,5,5,36502,9475,26927,100,25.9575,26.9971
18018,"Veterans","MERGED ALL TXT",115,4,5,5,36502,12098,24344,60,33.1434,29.027
18017,"Veterans","MERGED ALL TXT",105,4,5,5,36502,9988,26402,112,27.3629,25.6809
18016,"Veterans","MERGED ALL TXT",120,4,5,5,36502,11070,25348,84,30.3271,27.8851
18015,"Veterans","MERGED ALL TXT",125,4,5,5,36502,10730,25695,77,29.3956,28.348
18014,"Veterans","MERGED ALL TXT",135,4,5,5,36502,8507,27897,98,23.3056,22.6026
18013,"Veterans","MERGED ALL TXT",115,4,5,5,36502,9121,27277,104,24.9877,24.5243
18012,"Veterans","MERGED ALL TXT",110,4,5,5,36502,12812,23676,14,35.0994,41.7585
18011,"Veterans","MERGED ALL TXT",130,4,5,5,36502,10028,26365,109,27.4725,24.102
18010,"Veterans","MERGED ALL TXT",130,4,5,5,36502,16317,20136,49,44.7017,50.1139
18009,"Veterans","MERGED ALL TXT",130,4,5,5,36502,10272,26118,112,28.1409,26.8069
18008,"Veterans","MERGED ALL TXT",145,4,5,5,36502,12148,24259,95,33.2804,28.4585
18007,"Veterans","MERGED ALL TXT",140,4,5,5,36502,11232,25193,77,30.7709,27.6599
18006,"Veterans","MERGED ALL TXT",135,4,5,5,36502,9374,27046,82,25.6808,25.8903
18005,"Veterans","MERGED ALL TXT",175,4,5,5,36502,10709,25696,97,29.3381,26.3421
18004,"Veterans","MERGED ALL TXT",120,4,5,5,36502,11285,25136,81,30.9161,28.3489
18003,"Veterans","MERGED ALL TXT",150,4,5,5,36502,9627,26751,124,26.3739,23.6807
18002,"Veterans","MERGED ALL TXT",140,4,5,5,36502,11780,24633,89,32.2722,28.2581
18001,"Veterans","MERGED ALL TXT",140,4,5,5,36502,16329,20130,43,44.7345,50.7126
18000,"Veterans","MERGED ALL TXT",155,4,5,5,36502,15505,20970,27,42.4771,48.6557
17999,"Veterans","MERGED ALL TXT",135,4,5,5,36502,12790,23617,95,35.0392,30.2788
17998,"Veterans","MERGED ALL TXT",100,4,5,5,36502,9397,27020,85,25.7438,26.6498
17997,"Veterans","MERGED ALL TXT",105,4,5,5,36502,8173,28208,121,22.3906,21.4392
17996,"Veterans","MERGED ALL TXT",135,4,5,5,36502,15410,21056,36,42.2169,46.9711
17995,"Veterans","MERGED ALL TXT",140,4,5,5,36502,11730,24741,31,32.1352,32.5394
17994,"Veterans","MERGED ALL TXT",125,4,5,5,36502,9772,26622,108,26.7711,26.595
17993,"Veterans","MERGED ALL TXT",110,4,5,5,36502,8047,28321,134,22.0454,23.4968
17992,"Veterans","MERGED ALL TXT",105,4,5,5,36502,10722,25662,118,29.3737,26.5501
17991,"Veterans","MERGED ALL TXT",130,4,5,5,36502,11924,24494,84,32.6667,29.9155
17990,"Veterans","MERGED ALL TXT",145,4,5,5,36502,10957,25436,109,30.0175,25.583
17989,"Veterans","MERGED ALL TXT",130,4,5,5,36502,9125,27286,91,24.9986,25.1852
17988,"Veterans","MERGED ALL TXT",160,4,5,5,36502,10979,25435,88,30.0778,28.3649
17987,"Veterans","MERGED ALL TXT",120,4,5,5,36502,9634,26765,103,26.3931,25.6765
17986,"Veterans","MERGED ALL TXT",130,4,5,5,36502,14996,21475,31,41.0827,47.3137
17985,"Veterans","MERGED ALL TXT",140,4,5,5,36502,14742,21728,32,40.3868,46.6937
17984,"Veterans","MERGED ALL TXT",100,4,5,5,36502,9561,26848,93,26.1931,24.5022
17983,"Veterans","MERGED ALL TXT",150,4,5,5,36502,12291,24139,72,33.6721,29.9952
17982,"Veterans","MERGED ALL TXT",155,4,5,5,36502,11076,25339,87,30.3435,26.152
17981,"Veterans","MERGED ALL TXT",145,4,5,5,36502,15302,21155,45,41.921,47.3731
17980,"Veterans","MERGED ALL TXT",145,4,5,5,36502,11043,25366,93,30.2531,26.9765
17979,"Veterans","MERGED ALL TXT",110,4,5,5,36502,10760,25657,85,29.4778,28.1208
17978,"Veterans","MERGED ALL TXT",125,4,5,5,36502,11683,24727,92,32.0065,28.2066
17977,"Veterans","MERGED ALL TXT",140,4,5,5,36502,15644,20820,38,42.8579,47.7585
17976,"Veterans","MERGED ALL TXT",135,4,5,5,36502,8480,27887,135,23.2316,23.0939
17975,"Veterans","MERGED ALL TXT",150,4,5,5,36502,11468,24951,83,31.4175,26.7582
17974,"Veterans","MERGED ALL TXT",130,4,5,5,36502,14047,22425,30,38.4828,45.0068
17973,"Veterans","MERGED ALL TXT",150,4,5,5,36502,11038,25382,82,30.2394,26.8906
17972,"Veterans","MERGED ALL TXT",105,4,5,5,36502,9348,27048,106,25.6096,25.7368
17971,"Veterans","MERGED ALL TXT",120,4,5,5,36502,8496,27879,127,23.2754,23.0661
17970,"Veterans","MERGED ALL TXT",145,4,5,5,36502,11985,24447,70,32.8338,27.7617
17969,"Veterans","MERGED ALL TXT",125,4,5,5,36502,11597,24854,51,31.7709,29.282
17968,"Veterans","MERGED ALL TXT",105,4,5,5,36502,11552,24876,74,31.6476,28.5517
