rule_name,supergroup_bucket,original_type,first_match_line,context
Mobile Artillery,DEFENSE_MODIFIER,Defense,45409,"Support Vehicle [1] Q4+ D2+ | 285pts | Hold the Line, Impact(3), Mobile Artillery, Tough(6)"
Piercing Assault,WEAPON_MODIFIER,Weapon,16,"Assault Walker [1] Q4+ D2+ | 290pts | Devout, Fear(2), Fearless, Piercing Assault, Regeneration, ..."
Point-Blank Surge,WEAPON_MODIFIER,Weapon,6886,"Pistoleer Sisters [5] Q4+ D4+ | 175pts | Devout, Point-Blank Surge"
Puncture,WEAPON_MODIFIER,Weapon,34145,"5x Tasers (A5), 4x 18"" Laser Guns (A4, Puncture), 24"" Heavy Laser Gun (A1, Deadly(3), Puncture)"
Purge,WEAPON_MODIFIER,Weapon,14,"5x Energy Swords (A10, AP(1), Rending), 6"" Blessed Flamer Pistol (A1, Blast(3), Purge, Reliable),..."
Quake,WEAPON_MODIFIER,Weapon,27833,"36"" Rail M-Cannon (A1, AP(2), Deadly(6), Quake)"
Rapid Blink,ARMY_WIDE,Army-Wide Special Rules,33586,"Fool Champion [1] Q5+ D5+ | 50pts | Evasive, Furious, Rapid Blink, Tough(3)"
Repel Ambushers,DEFENSE_MODIFIER,Defense,34156,"Commander Xao [1] Q3+ D4+ | 100pts | Clan Warrior, Repel Ambushers, Tough(3), Unique"
Retaliate,DEFENSE_MODIFIER,Defense,38545,"Waskatsin [1] Q4+ D3+ | 200pts | Dangerous Terrain Debu, Mischievous, Retaliate(1), Tough(6), Unique"
Scrapper,ARMY_WIDE,Army-Wide Special Rules,27014,"3x CCWs (A3), 2x 12"" Scrapper (A2, Blast(3), Reliable), 18"" Plas-Blaster (A2, AP(4))"
Shatter,WEAPON_MODIFIER,Weapon,26960,"Void Bombs (A1, AP(3), Deadly(3), Strafing), 30"" Void Cannon (A1, AP(3), Deadly(3)), 36"" Shatter ..."
Shielded,DEFENSE_MODIFIER,Defense,1858,"Celestial High Sister [1] Q3+ D4+ | 175pts | Devout, Shielded, Tough(3)"
Shred,WEAPON_MODIFIER,Weapon,296,"3x CCWs (A6), Energy Lance (A2, AP(1), Thrust), 9"" Shred Pistol (A2, Rending), 3x 12"" Heavy Pisto..."
Skewer,WEAPON_MODIFIER,Weapon,35723,"Crew (A3), 24"" Heavy Bolt-Smasher Cannon (A2, AP(4), Skewer)"
Smash,WEAPON_MODIFIER,Weapon,35723,"Crew (A3), 24"" Heavy Bolt-Smasher Cannon (A2, AP(4), Skewer)"
Strafing,WEAPON_MODIFIER,Weapon,25214,"Pulse Bombs (A2, AP(1), Blast(3), Strafing), 30"" Missile Pod (A2, Decimate, Unstoppable), 30"" Ion..."
Sturdy,ARMY_WIDE,Army-Wide Special Rules,27787,"APC [1] Q4+ D2+ | 215pts | Impact(3), Sturdy, Tough(6)"
Surge,WEAPON_MODIFIER,Weapon,6886,"Pistoleer Sisters [5] Q4+ D4+ | 175pts | Devout, Point-Blank Surge"
Targeting Visor,ARMY_WIDE,Army-Wide Special Rules,22957,"Battle Suit Elite [1] Q4+ D3+ | 150pts | Targeting Visor, Tough(6)"
Tear,WEAPON_MODIFIER,Weapon,8117,"30"" Twin Bolt Cannon (A6, AP(1)), 36"" Twin Accelerator (A6, Tear)"
Unpredictable,WEAPON_MODIFIER,Weapon,37711,"Freaks [10] Q5+ D6+ | 140pts | Mischievous, Unpredictable Fighter"
Unpredictable Fighter,WEAPON_MODIFIER,Weapon,37711,"Freaks [10] Q5+ D6+ | 140pts | Mischievous, Unpredictable Fighter"
Versatile Attack,WEAPON_MODIFIER,Weapon,15982,"Veteran Custodian Brothers [3] Q3+ D2+ | 345pts | Fearless, Guardian, Tough(3), Versatile Attack"
