rule_name,has_match,first_match_line,context,Is a spell
Protected,TRUE,245416,"Plague Drone [FID:06997C8C] [BKT:3211E278] [1] Q3+ D2+ | 220pts | Fast, Impact(3), Plaguebound, P...",n
Stealth,TRUE,248164,"Knight Elimination Brothers [FID:126FC147] [BKT:40835B8B] [3] Q4+ D4+ | 260pts | Fearless, Knight...",n
Shield Wall,FALSE,,,0
Shielded,TRUE,250372,"Knight Grave Destroyers [FID:126FC147] [BKT:8E0C5CBD] [3] Q3+ D3+ | 400pts | Ambush, Courage Aura...",n
Resistance,TRUE,210358,"Chosen Plague Champion [FID:06997C8C] [BKT:2587A984] [1] Q3+ D3+ | 120pts | Ambush, Flying, Hero,...",n
Fearless,TRUE,247048,"Plague Zombies [FID:06997C8C] [BKT:8D348F77] [10] Q5+ D6+ | 95pts | Fearless, Plaguebound, Slow",n
Morale Boost,FALSE,,,0
No Retreat,TRUE,395827,"Annihilator Lord [FID:12CCD353] [BKT:27212100] [1] Q3+ D3+ | 215pts | Ambush, Hero, No Retreat Au...",n
Battleborn,TRUE,7260499,"APC [FID:CFC18F10] [BKT:09C78E40] [1] Q3+ D2+ | 295pts | Battleborn, Fast, Fearless, Impact(3), S...",n
Fear,TRUE,232105,"Plague Crab Walker [FID:06997C8C] [BKT:61E41B52] [1] Q3+ D2+ | 695pts | Fear(3), Plaguebound, Reg...",n
Furious,TRUE,211744,"Chosen Plague Champion [FID:06997C8C] [BKT:87539E0F] [1] Q3+ D3+ | 110pts | Ambush, Flying, Furio...",n
Relentless,TRUE,232348,"Plague Cultist Champion [FID:06997C8C] [BKT:F3C3B2C3] [1] Q5+ D5+ | 65pts | Hero, Plaguebound, Re...",n
Surge,TRUE,401303,"24"" atom-scourge (A9, AP(4)), 24"" flux sphere array (A9, AP(1), Surge)",n
Thrust,TRUE,783188,"razor-flail crew (A2, Surge, Thrust), toxin claws (A2, Bane)",n
Predator Fighter,TRUE,409165,"Druzhak [FID:26070237] [BKT:26AFDFFB] [1] Q4+ D4+ | 115pts | Hero, Hive Bond, Predator Fighter, T...",n
Good Shot,TRUE,783286,"Artillery Gun [FID:30692FBB] [BKT:0FD677DC] [1] Q5+ D3+ | 205pts | Artillery, Good Shot, Mischiev...",n
Bad Shot,TRUE,6689866,"Hover Bikers [FID:968D6C84] [BKT:63C25964] [3] Q4+ D5+ | 260pts | Bad Shot, Crossing Barrage(1), ...",n
Versatile Attack,TRUE,1,"Chosen Plague Brothers [FID:06997C8C] [BKT:A6002835] [3] Q3+ D3+ | 300pts | Plaguebound, Versatil...",n
Point-Blank Surge,TRUE,1139392,"Pistoleer Sisters [FID:4AF9C84B] [BKT:6AB37F57] [5] Q4+ D4+ | 175pts | Ambush, Devout, Flying, Po...",n
Piercing Assault,TRUE,395830,"Annihilator Lord [FID:12CCD353] [BKT:10B9B96F] [1] Q3+ D3+ | 230pts | Ambush, Hero, Piercing Assa...",n
Rupture,TRUE,405488,"piercing claws (A1, AP(2), Deadly(3)), serrated claws (A3, AP(4)), slashing claws (A3, AP(1), Ren...",n
Shred,TRUE,80,"3x ccws (A1), dual energy claws (A4, Rending), energy fist (A2, AP(4)), energy sword (A2, AP(1), ...",n
Smash,TRUE,404624,"piercing claws (A1, AP(1), Deadly(3)), 8x razor claws (A2), smashing claws (A1, Blast(3))",n
Hero,TRUE,209665,"Chosen Plague Champion [FID:06997C8C] [BKT:80E0959A] [1] Q3+ D3+ | 110pts | Ambush, Flying, Hero,...",n
Takedown,TRUE,232157,"ccw (A2), 30"" champion sniper rifle (A2, AP(1), Reliable, Takedown)",n
Counter,TRUE,774145,"Ascended Harbinger of Lust [FID:2FD07986] [BKT:D8D8B0A5] [1] Q3+ D2+ | 385pts | Ambush, Counter-A...",n
Hit & Run,TRUE,774229,"Ascended Harbinger of Lust [FID:2FD07986] [BKT:B7E3C7F2] [1] Q3+ D2+ | 375pts | Ambush, Fear(2), ...",n
Self-Destruct,TRUE,767824,"Massive Spores [FID:26070237] [BKT:50BB11AF] [3] Q6+ D6+ | 145pts | No Retreat, Self-Destruct(6),...",n
Scout,TRUE,209665,"Chosen Plague Champion [FID:06997C8C] [BKT:80E0959A] [1] Q3+ D3+ | 110pts | Ambush, Flying, Hero,...",n
Ambush,TRUE,209665,"Chosen Plague Champion [FID:06997C8C] [BKT:80E0959A] [1] Q3+ D3+ | 110pts | Ambush, Flying, Hero,...",n
Fast,TRUE,217981,Greater Plague Mutated [FID:06997C8C] [BKT:3A623FFC] [3] Q3+ D4+ | 265pts | Dangerous Terrain Deb...,n
Slow,TRUE,247048,"Plague Zombies [FID:06997C8C] [BKT:8D348F77] [10] Q5+ D6+ | 95pts | Fearless, Plaguebound, Slow",n
Agile,TRUE,404617,"Assault Grunts [FID:26070237] [BKT:2D5110F2] [10] Q5+ D5+ | 175pts | Agile, Fast, Hive Bond, Strider",n
Flying,TRUE,209665,"Chosen Plague Champion [FID:06997C8C] [BKT:80E0959A] [1] Q3+ D3+ | 110pts | Ambush, Flying, Hero,...",n
Strider,TRUE,218017,"Plague APC [FID:06997C8C] [BKT:F19E5325] [1] Q3+ D2+ | 280pts | Dangerous Terrain Debuff, Fast, I...",n
Rapid Charge,TRUE,409201,"Grunt Veteran [FID:26070237] [BKT:AB5EEE76] [1] Q5+ D5+ | 50pts | Agile, Ambush, Flying, Hero, Hi...",n
Melee Evasion,TRUE,783436,"Boss Champ [FID:30692FBB] [BKT:F11C4CA0] [1] Q4+ D5+ | 65pts | Ambush, Flying, Hero, Melee Evasio...",n
Melee Shrouding,TRUE,285964,"Knight Prime Master [FID:126FC147] [BKT:4C760D87] [1] Q3+ D3+ | 195pts | Fearless, Hero, Knightbo...",n
Ranged Shrouding,TRUE,3223978,"Jetpack Brothers [FID:5CAEEE40] [BKT:0CE1F0B8] [3] Q3+ D2+ | 445pts | Ambush, Fearless, Flying, G...",n
Unstoppable,TRUE,50,"3x ccws (A1), dual energy claws (A4, Rending), energy fist (A2, AP(4)), energy sword (A2, AP(1), ...",n
Casting,TRUE,401422,"Great Monolith [FID:12CCD353] [BKT:073879D9] [1] Q3+ D2+ | 785pts | Caster(3), Casting Buff, Fear...",n
Devout,TRUE,1081687,"APC [FID:4AF9C84B] [BKT:CA69ED59] [1] Q4+ D2+ | 230pts | Casting Debuff, Devout, Fast, Impact(3),...",n
Advanced Sight,FALSE,,,y
Ambush Aura,TRUE,401539,"Robot Lord [FID:12CCD353] [BKT:1168FEF3] [1] Q3+ D3+ | 85pts | Ambush, Ambush Aura, Flying, Hero,...",n
Ambush Beacon,TRUE,879259,"Ankylosaurus [FID:40F5F8EB] [BKT:592B2190] [1] Q4+ D2+ | 625pts | Ambush Beacon, Bane Mark, Fear(...",n
Ambush Re-Deployment,TRUE,6101779,"Jesters [FID:798E6E5D] [BKT:9832A0F8] [5] Q3+ D5+ | 300pts | Ambush Re-Deployment, Evasive, Furio...",n
Ammo Boost,FALSE,,,y
Animate Spirit,FALSE,,,y
Armor Rune,FALSE,,,y
Art of Pain,FALSE,,,y
Asphyxiating Fog,FALSE,,,y
Aura of Peace,FALSE,,,y
Aura of Pestilence,FALSE,,,y
Bad Omen,FALSE,,,y
Bane Mark,TRUE,879259,"Ankylosaurus [FID:40F5F8EB] [BKT:592B2190] [1] Q4+ D2+ | 625pts | Ambush Beacon, Bane Mark, Fear(...",n
Bane in Melee Aura,TRUE,248188,"Knight Elite Raider [FID:126FC147] [BKT:350F429D] [1] Q4+ D4+ | 95pts | Ambush, Bane in Melee Aur...",n
Bane in Melee Buff,TRUE,3288898,"Company Leader [FID:5D3C5446] [BKT:C64EFDB4] [1] Q4+ D5+ | 95pts | Bane in Melee Buff, Fast, Hero...",n
Bane when Shooting Aura,TRUE,248308,"Knight Elite Raider [FID:126FC147] [BKT:F54CE7CA] [1] Q4+ D4+ | 105pts | Ambush, Bane when Shooti...",n
Banishing Sigil,FALSE,,,y
Bash,TRUE,288908,"3x bashes (A1), dual energy claws (A4, Rending), energy fist (A2, AP(4)), 12"" heavy pistols (A1, ...",n
Battle Rune,FALSE,,,y
Beautiful Pain,FALSE,,,y
Bio-Displacer,FALSE,,,y
Bio-Horror,FALSE,,,y
Blades of Discord,FALSE,,,y
Blessed Ammo,FALSE,,,y
Blessed Virus,FALSE,,,y
Blessing of Souls,FALSE,,,y
Blissful Dance,FALSE,,,y
Blood Dome,FALSE,,,y
Blood Sight,FALSE,,,y
Blood Trauma,FALSE,,,y
Blood Wound,FALSE,,,y
Bloodborn,TRUE,2996893,"Blood Aggro Brothers [FID:52F64AE5] [BKT:64F0A522] [3] Q3+ D3+ | 490pts | Bloodborn, Fearless, Re...",n
Boom!,FALSE,,,y
Bounding,TRUE,210367,"Chosen Plague Champion [FID:06997C8C] [BKT:B0202465] [1] Q3+ D3+ | 140pts | Ambush, Bounding Aura...",n
Bounding Aura,TRUE,210367,"Chosen Plague Champion [FID:06997C8C] [BKT:B0202465] [1] Q3+ D3+ | 140pts | Ambush, Bounding Aura...",n
Brain Burst,FALSE,,,y
Brain Infestation,FALSE,,,y
Break,TRUE,867899,"great blood sword (A6, Break), great flame axe (A6, AP(1), Rending), stomp (A4, AP(1))",n
Breaking Rune,FALSE,,,y
Breath Attack,TRUE,404797,"Carnivo-Rex [FID:26070237] [BKT:C13F77EB] [1] Q4+ D2+ | 460pts | Breath Attack, Fear(2), Fearless...",n
Breath of Change,FALSE,,,y
Brutal Fighter,TRUE,7654171,"Warfare Ministry Assassin [FID:F942A026] [BKT:B6E09808] [1] Q2+ D2+ | 235pts | Brutal Fighter, Ev...",n
Brutal Massacre,FALSE,,,y
Burn the Heretic,FALSE,,,y
Burst of Rage,FALSE,,,y
Butcher,TRUE,6673283,"great infected sword (A6, Butcher), great plague gauntlet (A6, AP(3), Bane), stomp (A4, AP(1))",n
Calculated Foresight,FALSE,,,y
Caster Group,TRUE,773218,"Synapse Beasts [FID:26070237] [BKT:9D4DA50A] [3] Q4+ D4+ | 200pts | Caster Group, Hive Bond, Resi...",n
Casting Buff,TRUE,401422,"Great Monolith [FID:12CCD353] [BKT:073879D9] [1] Q3+ D2+ | 785pts | Caster(3), Casting Buff, Fear...",n
Casting Debuff,TRUE,858127,"Ascended Harbinger of Change [FID:36064B09] [BKT:96E6EC76] [1] Q3+ D2+ | 410pts | Ambush, Casting...",n
Celestial Roar,FALSE,,,y
Cerebral Trauma,FALSE,,,y
Change Boon,FALSE,,,y
Changebound,TRUE,858127,"Ascended Harbinger of Change [FID:36064B09] [BKT:96E6EC76] [1] Q3+ D2+ | 410pts | Ambush, Casting...",n
Changebound Boost,TRUE,858463,"Ascended Harbinger of Change [FID:36064B09] [BKT:86A1D6E4] [1] Q3+ D2+ | 425pts | Ambush, Changeb...",n
Changebound Boost Aura,TRUE,860095,"Champion of Change [FID:36064B09] [BKT:F5C21D7E] [1] Q4+ D4+ | 170pts | Ambush Aura, Changebound,...",n
Clan Warrior,TRUE,1145884,"Artillery Titan [FID:4E816365] [BKT:6A6829D2] [1] Q3+ D2+ | 915pts | Clan Warrior, Fear(3), Fearl...",n
Clan Warrior Boost Aura,TRUE,1147936,"Dynasty Leader [FID:4E816365] [BKT:79516334] [1] Q3+ D4+ | 145pts | Ambush, Clan Warrior, Clan Wa...",n
Cleaving Rune,FALSE,,,y
Combat Ecstasy,FALSE,,,y
Coordinate,TRUE,3292858,"Company Leader [FID:5D3C5446] [BKT:13A4408E] [1] Q4+ D5+ | 120pts | Coordinate, Fast, Hero, Hold ...",n
Coordinated Aggression,FALSE,,,y
Corrode Weapons,FALSE,,,y
Counter-Attack,TRUE,774145,"Ascended Harbinger of Lust [FID:2FD07986] [BKT:D8D8B0A5] [1] Q3+ D2+ | 385pts | Ambush, Counter-A...",n
Counter-Attack Aura,TRUE,778423,"Harbinger of Lust [FID:2FD07986] [BKT:2D52CD90] [1] Q3+ D3+ | 220pts | Ambush Aura, Counter-Attac...",n
Courage Aura,TRUE,247111,"Knight Assault Prime Brothers [FID:126FC147] [BKT:58313F64] [5] Q3+ D3+ | 320pts | Ambush, Courag...",n
Courage Buff,TRUE,1139632,"Procession Altar [FID:4AF9C84B] [BKT:E7226629] [1] Q4+ D2+ | 395pts | Casting Debuff, Courage Buf...",n
Crack,TRUE,288884,"turret crew (A3), 24"" twin crack cannon (A6, AP(1), Indirect, Rending)",n
Crackling Bolt,FALSE,,,y
Creator of Illusions,FALSE,,,y
Crossing Attack,TRUE,7065175,"Elven Noble [FID:BE80C62F] [BKT:F5861AF0] [1] Q3+ D4+ | 95pts | Ambush, Crossing Attack(1), Flyin...",n
Crossing Barrage,TRUE,6689866,"Hover Bikers [FID:968D6C84] [BKT:63C25964] [3] Q4+ D5+ | 260pts | Bad Shot, Crossing Barrage(1), ...",n
Crossing Strike,TRUE,886624,"Pterodactyl Riders [FID:40F5F8EB] [BKT:D8DF71DD] [3] Q5+ D5+ | 190pts | Ambush, Crossing Strike(1...",n
Crush,TRUE,401423,"crushing legs (A6, AP(2)), stomp (A6, AP(2)), 18"" monolith beam (A3, AP(3), Deadly(6))",n
Crushing Force,FALSE,,,y
Cursed Stride,FALSE,,,y
Cyborg Assault,FALSE,,,y
Dangerous Terrain Debuff,TRUE,217981,Greater Plague Mutated [FID:06997C8C] [BKT:3A623FFC] [3] Q3+ D4+ | 265pts | Dangerous Terrain Deb...,n
Dark Assault,TRUE,5693479,"Dark Assault Brothers [FID:640B87B9] [BKT:8B238AC0] [5] Q3+ D3+ | 350pts | Ambush, Courage Aura, ...",y
Dark Dome,FALSE,,,y
Dark Sight,FALSE,,,y
Dark Trauma,FALSE,,,y
Dark Wound,FALSE,,,y
Darkborn,TRUE,5693455,"Dark APC [FID:640B87B9] [BKT:02C58A61] [1] Q3+ D2+ | 300pts | Darkborn, Fast, Fearless, Impact(3)...",n
Deadly Surge,FALSE,,,y
Death Bolt,FALSE,,,y
Deathstrike,TRUE,7438180,"Boomers [FID:E1E77FAF] [BKT:69558941] [3] Q4+ D4+ | 200pts | Deathstrike(3), Infected, Precision ...",n
Deceleration Rune,FALSE,,,y
Decimate,TRUE,888941,"bash (A4, AP(1)), 2x 12"" suit-flamers (A1, Blast(3), Reliable), 18"" burst (A2, Rending), 2x 18"" r...",n
Deep Hypnosis,FALSE,,,y
Deep Meditation,FALSE,,,y
Defense Debuff,TRUE,6087457,"Artillery Gun [FID:701035C7] [BKT:33EBF4E3] [1] Q4+ D3+ | 165pts | Artillery, Defense Debuff, Tou...",n
Defensive Growth Aura,TRUE,7645693,"Possessed Henchmen [FID:F942A026] [BKT:89710ED2] [3] Q3+ D5+ | 165pts | Defensive Growth Aura, In...",n
Delayed Action,TRUE,2865760,"Duke Titan [FID:4F34EDC3] [BKT:C745F715] [1] Q3+ D2+ | 1470pts | Caster(3), Changebound, Delayed ...",n
Demolish,TRUE,247499,"stomp (A5, AP(2)), 12"" chest-fuser (A1, AP(4), Deadly(3)), 12"" heavy flamer (A1, AP(1), Blast(3),...",n
Destructive,TRUE,395963,"ccws (A2), combat staff (A3, AP(1)), doom scythe (A1, AP(2), Deadly(3)), hyper sword (A3, AP(1), ...",n
Destructive Frenzy,TRUE,870418,"Beast Riders [FID:373C5DC1] [BKT:B4F45B23] [3] Q4+ D3+ | 225pts | Banner, Destructive Frenzy, Fas...",n
Devastating Frenzy,TRUE,7208908,"Berserker Veteran [FID:CD802E72] [BKT:8D2AD220] [1] Q4+ D5+ | 105pts | Devastating Frenzy, Fearle...",n
Devastating Strike,FALSE,,,y
Devout Boost,TRUE,1084936,"Celestial High Sister [FID:4AF9C84B] [BKT:FC434739] [1] Q3+ D4+ | 110pts | Ambush, Devout, Devout...",n
Devout Boost Aura,TRUE,1084936,"Celestial High Sister [FID:4AF9C84B] [BKT:FC434739] [1] Q3+ D4+ | 110pts | Ambush, Devout, Devout...",n
Difficult Terrain Debuff,TRUE,6673282,"Ascended Harbinger of Plague [FID:942ACDB6] [BKT:5795B282] [1] Q3+ D2+ | 405pts | Ambush, Difficu...",n
Disintegrate,TRUE,879263,"mace tail (A4, AP(2)), stomp (A4, AP(1)), 24"" twin beam cannon (A2, AP(2), Deadly(6), Disintegrate)",n
Doom Strike,FALSE,,,y
Dragon Breath,FALSE,,,y
Dread Strike,FALSE,,,y
Elder Protection,FALSE,,,y
Electric Tempest,FALSE,,,y
Elemental Seeker,FALSE,,,y
Enhance Serum,FALSE,,,y
Entrenched Buff,TRUE,3294298,"Company Leader [FID:5D3C5446] [BKT:009A90BA] [1] Q4+ D5+ | 90pts | Entrenched Buff, Fast, Hero, H...",n
Eternal Flame,FALSE,,,y
Eternal Guidance,FALSE,,,y
Evasive,TRUE,879283,"Chameleons [FID:40F5F8EB] [BKT:88389E1D] [5] Q5+ D5+ | 190pts | Ambush Beacon, Bane Mark, Evasive...",n
Evasive Aura,TRUE,6096745,"Infiltrators [FID:701035C7] [BKT:046A40BF] [5] Q4+ D5+ | 205pts | Defense Debuff, Evasive Aura, S...",n
Expel Threat,FALSE,,,y
Extended Buff Range,TRUE,3287848,"Attack Vehicle [FID:5D3C5446] [BKT:18817DCD] [1] Q4+ D2+ | 275pts | Extended Buff Range, Fast, Ho...",n
Fade in the Dark,FALSE,,,y
Fanatic,TRUE,1082341,"Biker Fanatics [FID:4AF9C84B] [BKT:940EA78D] [3] Q5+ D5+ | 220pts | Devout, Fast, Fearless, Pierc...",n
Fast Aura,TRUE,1123771,"Fanatic Superior [FID:4AF9C84B] [BKT:5D6BFE39] [1] Q5+ D5+ | 70pts | Devout, Fast Aura, Fearless,...",n
Fatal Sorrow,FALSE,,,y
Fateful Guidance,FALSE,,,y
Fatigue Debuff,TRUE,867898,"Ascended Harbinger of War [FID:373C5DC1] [BKT:DE0A3E66] [1] Q3+ D2+ | 395pts | Ambush, Fatigue De...",n
Fearless Aura,TRUE,860203,"Champion of Change [FID:36064B09] [BKT:BAF788A0] [1] Q4+ D4+ | 165pts | Ambush Aura, Changebound,...",n
Feral Strike,FALSE,,,y
Ferocious,TRUE,6682654,"Assault Buggy [FID:968D6C84] [BKT:9577F41E] [1] Q4+ D2+ | 270pts | Fast, Ferocious, Impact(3), Sp...",n
Ferocious Boost,TRUE,6689353,"Berserker Leader [FID:968D6C84] [BKT:E8469846] [1] Q4+ D6+ | 165pts | Ferocious, Ferocious Boost ...",n
Ferocious Boost Aura,TRUE,6689353,"Berserker Leader [FID:968D6C84] [BKT:E8469846] [1] Q4+ D6+ | 165pts | Ferocious, Ferocious Boost ...",n
Fiery Protection,FALSE,,,y
Flame Bots,FALSE,,,y
Flame of Destruction,FALSE,,,y
Focused Defender,FALSE,,,y
Focused Shock,FALSE,,,y
Fortified,TRUE,879259,"Ankylosaurus [FID:40F5F8EB] [BKT:592B2190] [1] Q4+ D2+ | 625pts | Ambush Beacon, Bane Mark, Fear(...",n
Fortified Aura,TRUE,1084945,"Celestial High Sister [FID:4AF9C84B] [BKT:3C6DCC73] [1] Q3+ D4+ | 175pts | Ambush, Devout, Flying...",n
Fortified Growth,TRUE,6674962,"Champion of Plague [FID:942ACDB6] [BKT:474779AE] [1] Q4+ D4+ | 165pts | Ambush Aura, Fortified Gr...",n
Fracture,TRUE,773240,"stomp (A5, AP(2)), 18"" acid spike launcher (A2, AP(2), Deadly(3), Unstoppable), 30"" fracture cann...",n
Fragment,TRUE,6101714,"2x ccws (A2), 12"" master fragment pistol (A2, Fragment)",n
Furious Aura,TRUE,211744,"Chosen Plague Champion [FID:06997C8C] [BKT:87539E0F] [1] Q3+ D3+ | 110pts | Ambush, Flying, Furio...",n
Furious Mark,TRUE,7083841,"Chelonians [FID:C8D650B3] [BKT:405536AA] [3] Q3+ D3+ | 240pts | Furious Mark, Guerrilla, Slow, To...",n
Gauss Bots,FALSE,,,y
Godly Thunder,FALSE,,,y
Grounded Precision Aura,TRUE,6112117,"Acolytes [FID:79EA7B6E] [BKT:B9EC8151] [5] Q4+ D5+ | 150pts | Fanatic, Grounded Precision Aura, S...",n
Grounded Reinforcement Aura,TRUE,6118546,"Supreme Leader [FID:79EA7B6E] [BKT:AC8738B1] [1] Q3+ D4+ | 115pts | Ambush, Bounding, Fanatic, Fa...",n
Grounded Stealth,TRUE,7437700,"Sect Infiltrators [FID:DF541FF9] [BKT:7B2A9242] [5] Q3+ D4+ | 530pts | Grounded Stealth, Machine-...",n
Guarded Buff,TRUE,1139632,"Procession Altar [FID:4AF9C84B] [BKT:E7226629] [1] Q4+ D2+ | 395pts | Casting Debuff, Courage Buf...",n
Guardian,TRUE,401446,"Guardians [FID:12CCD353] [BKT:F1D1D86E] [5] Q3+ D3+ | 310pts | Ambush, Flying, Self-Repair, Slow,...",n
Guardian Boost,TRUE,3236398,"Master Custodian [FID:5CAEEE40] [BKT:BA24420E] [1] Q3+ D2+ | 360pts | Fearless, Guardian, Guardia...",n
Guardian Boost Aura,TRUE,3236398,"Master Custodian [FID:5CAEEE40] [BKT:BA24420E] [1] Q3+ D2+ | 360pts | Fearless, Guardian, Guardia...",n
Guardian Protection,FALSE,,,y
Guerrilla,TRUE,7083337,"Assault Vehicle [FID:C8D650B3] [BKT:46BF6BFD] [1] Q4+ D2+ | 190pts | Courage Buff, Fast, Fortifie...",n
Guerrilla Boost Aura,TRUE,7116175,"Rebel Leader [FID:C8D650B3] [BKT:69263C3A] [1] Q4+ D5+ | 115pts | Ambush, Counter-Attack, Guerril...",n
Harassing,TRUE,819511,"Blood Hounds [FID:3418A122] [BKT:3CD8EAFF] [5] Q4+ D5+ | 140pts | Fast, Harassing, Scout",n
Harassing Boost Aura,TRUE,821338,"Dark Lord [FID:3418A122] [BKT:686789B2] [1] Q3+ D4+ | 155pts | Harassing, Harassing Boost Aura, H...",n
Havoc Boon,FALSE,,,y
Havoc Fog,FALSE,,,y
Havoc Terror,FALSE,,,y
Havoc Trauma,FALSE,,,y
Havocbound,TRUE,2951680,"Chosen Havoc Brothers [FID:4FD97B97] [BKT:F21D6410] [3] Q3+ D3+ | 310pts | Havocbound, Versatile ...",n
Havocbound Boost Aura,TRUE,2983630,"Chosen Havoc Champion [FID:4FD97B97] [BKT:FD50D405] [1] Q3+ D3+ | 155pts | Ambush, Flying, Havocb...",n
Hazardous,TRUE,6087458,"crew (A3), 30"" heavy plas-burst cannon (A2, Blast(3), Hazardous)",n
Head Bang,FALSE,,,y
Headtaker Strike,FALSE,,,y
Heavenly Lance,FALSE,,,y
Heavy Impact,TRUE,880330,"Gecko Champion [FID:40F5F8EB] [BKT:B59D1EB2] [1] Q5+ D5+ | 150pts | Ambush, Fast, Flying, Heavy I...",n
Hidden Spirits,FALSE,,,y
Highborn,TRUE,7051429,"Acolytes [FID:BE80C62F] [BKT:A8FD7304] [3] Q4+ D4+ | 450pts | Caster Group, Highborn",n
Highborn Boost Aura,TRUE,7079935,"Elven Noble [FID:BE80C62F] [BKT:CC4A481C] [1] Q3+ D4+ | 125pts | Hero, Highborn, Highborn Boost A...",n
Hit & Run Fighter,TRUE,774229,"Ascended Harbinger of Lust [FID:2FD07986] [BKT:B7E3C7F2] [1] Q3+ D2+ | 375pts | Ambush, Fear(2), ...",n
Hit & Run Fighter Aura,TRUE,776077,"Champion of Lust [FID:2FD07986] [BKT:F03BA6D0] [1] Q4+ D4+ | 215pts | Ambush Aura, Armor(3), Fast...",n
Hit & Run Shooter,TRUE,3228838,"Master Custodian [FID:5CAEEE40] [BKT:250FF0D4] [1] Q3+ D2+ | 220pts | Ambush, Fearless, Flying, G...",n
Hit & Run Shooter Aura,TRUE,3228838,"Master Custodian [FID:5CAEEE40] [BKT:250FF0D4] [1] Q3+ D2+ | 220pts | Ambush, Fearless, Flying, G...",n
Hive Bond,TRUE,404593,"Artillery Heavy Beast [FID:26070237] [BKT:FFBBE7DF] [1] Q4+ D2+ | 785pts | Fear(3), Fearless, Hiv...",n
Hive Bond Boost Aura,TRUE,767959,"Prime Warrior [FID:26070237] [BKT:1A91722B] [1] Q4+ D4+ | 135pts | Ambush, Flying, Hero, Hive Bon...",n
Hive Shriek,FALSE,,,y
Hold the Line,TRUE,3287752,"Armored Truck [FID:5D3C5446] [BKT:2FE8006A] [1] Q4+ D2+ | 275pts | Fast, Hold the Line, Impact(3)...",n
Hold the Line Boost Aura,TRUE,3550225,"Veterans [FID:5D3C5446] [BKT:A5005E01] [5] Q4+ D5+ | 340pts | Extended Buff Range, Hold the Line,...",n
Holistic Suffering,FALSE,,,y
Holy Rage,FALSE,,,y
Honor Code,TRUE,2865760,"Duke Titan [FID:4F34EDC3] [BKT:C745F715] [1] Q3+ D2+ | 1470pts | Caster(3), Changebound, Delayed ...",n
Ignores Cover Aura,TRUE,1145995,"Dynasty Leader [FID:4E816365] [BKT:645B00F8] [1] Q3+ D4+ | 140pts | Ambush, Clan Warrior, Fearles...",n
Ignores Cover when Shooting Aura,TRUE,7242976,Dwarf Warriors [FID:CD802E72] [BKT:C656E02E] [5] Q4+ D4+ | 155pts | Ignores Cover when Shooting A...,n
Impale,TRUE,6682718,"18"" rapid harpoon rockets (A2, AP(4), Impale), 30"" heavy cannon (A2, AP(2), Blast(3)), 30"" heavy ...",n
Increased Shooting Range,TRUE,409171,"Grunt Veteran [FID:26070237] [BKT:2A07CC2C] [1] Q5+ D5+ | 75pts | Agile, Ambush, Flying, Hero, Hi...",n
Increased Shooting Range Aura,TRUE,409171,"Grunt Veteran [FID:26070237] [BKT:2A07CC2C] [1] Q5+ D5+ | 75pts | Agile, Ambush, Flying, Hero, Hi...",n
