Rule Name,Category,Status,Notes
Quick Readjustment,Combat - Modifier,Not Started,Ignore Indirect move penalty
Spell Accumulator,Spells,Not Started,Token generation for spell casting
Unpredictable Shooter,Combat - Choice,Not Started,Roll D6 for AP+1 or +1 hit when shooting
Defensive Growth Aura,Aura - Defense,Not Started,Unit gets Defensive Growth
Infected,Combat - Wound Bonus,Not Started,Extra wound on unmodified defense 1
Deathstrike,Combat - Retaliation,Not Started,Attacking unit takes X hits when killed
Precision Debuff,Debuff - Combat,Not Started,-1 to hit for enemy unit
Precision Growth,Combat - Scaling,Not Started,Marker-based hit bonus over rounds
Infected Boost Aura,Aura - Combat,Not Started,Unit gets Infected Boost
Unpredictable Shooter Aura,Aura - Combat,Not Started,Unit gets Unpredictable Shooter
Crossing Strike,Combat - Special,Not Started,Once per game attack through movement
Precision Tag,Targeting,Not Started,Place markers for hit bonus (removable)
Surprise Piercing Shot,Deployment - Combat,Not Started,AP(+2) when deploying via Ambush
Scrapper Boost Aura,Aura - Combat,Not Started,Unit gets Scrapper Boost
Grounded Stealth,Defense - Terrain,Not Started,-1 to be hit when near terrain
Piercing Shooting Debuff,Debuff - Combat,Not Started,Remove AP(+1) from enemy shooting
Machine-Fog Boost Aura,Aura - Defense,Not Started,Unit gets Machine-Fog Boost
Ferocious Boost,Combat - Hit Bonus,Not Started,Extra hits on 5-6 instead of just 6
Rending in Melee Mark,Buff - Combat,Not Started,Grant Rending in melee vs target
Ferocious Boost Aura,Aura - Combat,Not Started,Unit gets Ferocious Boost
Piercing Fighter Aura,Aura - Combat,Not Started,AP(+1) in melee for unit
Precision Charge Aura,Aura - Combat,Not Started,+1 to hit when charging for unit
Speed Feat Aura,Aura - Movement,Not Started,Unit gets Speed Feat
Reinforced,Defense - AP Reduction,Not Started,AP(-1) when shot/charged from over 9"
Mind Wound,Combat - Special,Not Started,Enemy takes 2 hits with Demolish
Crush,Combat - Special,Not Started,Roll X dice in melee for AP(2) hits
Defense Debuff,Debuff - Defense,Not Started,-1 to defense for enemy unit
Hazardous,Combat - Self-Damage,Not Started,AP(4) but take wound on hit roll of 1
Heavy Impact,Combat - Modifier,Not Started,Impact hits get AP(1)
Reinforcement,Deployment,Not Started,Respawn when shaken/destroyed
Scurry Boost Aura,Aura - Movement,Not Started,Unit gets Scurry Boost
Guerrilla,Movement,Not Started,Move 3" after shooting or melee (once per round)
Furious Mark,Buff - Combat,Not Started,Grant Furious vs target
Guerrilla Boost Aura,Aura - Movement,Not Started,Unit gets Guerrilla Boost
Self-Repair,Defense - Wound Ignore,Not Started,6+ to ignore wounds
Indirect Mark,Buff - Combat,Not Started,Grant Indirect vs target
Self-Repair Boost Buff,Buff - Defense,Not Started,Grant Self-Repair Boost to friendly
Swift Buff,Buff - Movement,Not Started,Grant Swift to friendly
Reanimation Aura,Aura - Defense,Not Started,Unit gets Reanimation
Primal,Combat - Hit Bonus,Not Started,6s to hit generate +1 attack (non-recursive)
Bane Mark,Buff - Combat,Not Started,Grant Bane vs target
Primal Boost Buff,Buff - Combat,Not Started,Grant Primal Boost to friendly
Protection Feat,Defense - Wound Ignore,Not Started,Once per game 4+ to ignore wounds
Fanatic,Deployment,Not Started,Place model within 9" after deployment
Increased Shooting Range Buff,Buff - Range,Not Started,Grant +6" range to friendly
Mind Control,Debuff - Movement,Not Started,Force enemy move on failed morale
Precision Shooting Mark,Buff - Combat,Not Started,Grant +1 shooting hit vs target
Speed Buff,Buff - Movement,Not Started,Grant +2/+4" movement to friendly
Grounded Precision Aura,Aura - Combat,Not Started,Unit gets Grounded Precision
Grounded Reinforcement Aura,Aura - Defense,Not Started,Unit gets Grounded Reinforcement
Melee Slayer Aura,Aura - Combat,Not Started,Unit gets Melee Slayer
Honor Code,Morale,Not Started,4+ to stop being Shaken (like Steadfast)
Changebound Boost,Defense - Hit Modifier,Not Started,-1 to hit always (not just over 9")
Split,Deployment,Not Started,Spawn new unit when destroyed
Storm of Change,Combat - Special,Not Started,Roll 3 dice for AoE Shred hits
Storm of Lust,Combat - Special,Not Started,Roll 3 dice for AoE Surge hits
Lustbound Boost,Movement,Not Started,+2/+6" movement from Lustbound
Quick Shot Mark,Buff - Combat,Not Started,Grant Quick Shot vs target
Storm of Plague,Combat - Special,Not Started,Roll 3 dice for AoE Bane hits
Destructive Frenzy,Combat - Scaling,Not Started,Marker-based hit/AP bonus
Fatigue Debuff,Debuff - Activation,Not Started,Force enemy to become fatigued
Storm of War,Combat - Special,Not Started,Roll 3 dice for AoE AP(1) hits
Warbound Boost,Combat - Wound Bonus,Not Started,Extra wound on defense 1-2 (not just 1)
Piercing Shooter Aura,Aura - Combat,Not Started,AP(+1) when shooting for unit
Difficult Terrain Debuff,Debuff - Movement,Not Started,Force Difficult Terrain on enemy
Fortified Growth,Defense - Scaling,Not Started,Marker-based AP reduction over rounds
Plaguebound Boost,Defense - Wound Ignore,Not Started,5-6 to ignore wounds (not just 6)
Precision Attacks Buff,Buff - Combat,Not Started,Grant +1 to hit attacking to friendly
